x-axis,1,2
second,Volt,Volt
-58.0000E-09,-7.9756280552829E+00,-7.7183416258777E+00
-57.2188E-09,-7.9756280552829E+00,-7.7183416258777E+00
-56.4375E-09,-7.9756280552829E+00,-7.8161104690516E+00
-55.6563E-09,-7.9756280552829E+00,-7.8469848405803E+00
-54.8750E-09,-7.9756280552829E+00,-7.8469848405803E+00
-54.0938E-09,-7.9756280552829E+00,-7.8469848405803E+00
-53.3125E-09,-7.9756280552829E+00,-7.8469848405803E+00
-52.5313E-09,-7.9756280552829E+00,-7.7492159974063E+00
-51.7500E-09,-7.9756280552829E+00,-7.7183416258777E+00
-50.9688E-09,-7.9756280552829E+00,-7.7183416258777E+00
-50.1875E-09,-7.9756280552829E+00,-7.7183416258777E+00
-49.4063E-09,-7.9756280552829E+00,-7.7183416258777E+00
-48.6250E-09,-7.9328541863943E+00,-7.7183416258777E+00
-47.8438E-09,-7.8643516745651E+00,-7.8161104690516E+00
-47.0625E-09,-7.8469848405803E+00,-7.8469848405803E+00
-46.2813E-09,-7.8469848405803E+00,-7.8469848405803E+00
-45.5000E-09,-7.8469848405803E+00,-7.8469848405803E+00
-44.7188E-09,-7.8469848405803E+00,-7.8469848405803E+00
-43.9375E-09,-7.8469848405803E+00,-7.8469848405803E+00
-43.1563E-09,-7.8469848405803E+00,-7.8469848405803E+00
-42.3750E-09,-7.8469848405803E+00,-7.8469848405803E+00
-41.5938E-09,-7.8469848405803E+00,-7.8469848405803E+00
-40.8125E-09,-7.8469848405803E+00,-7.8469848405803E+00
-40.0313E-09,-7.8469848405803E+00,-7.8469848405803E+00
-39.2500E-09,-7.8469848405803E+00,-7.8469848405803E+00
-38.4688E-09,-7.8469848405803E+00,-7.8469848405803E+00
-37.6875E-09,-7.8469848405803E+00,-7.8469848405803E+00
-36.9063E-09,-7.8469848405803E+00,-7.8469848405803E+00
-36.1250E-09,-7.8469848405803E+00,-7.8469848405803E+00
-35.3438E-09,-7.8469848405803E+00,-7.8469848405803E+00
-34.5625E-09,-7.9019798148656E+00,-7.8469848405803E+00
-33.7813E-09,-7.9621205177391E+00,-7.7492159974063E+00
-33.0000E-09,-7.9756280552829E+00,-7.7672260474647E+00
-32.2188E-09,-7.9756280552829E+00,-7.8315476548160E+00
-31.4375E-09,-7.9756280552829E+00,-7.7492159974063E+00
-30.6563E-09,-7.9756280552829E+00,-7.7183416258777E+00
-29.8750E-09,-7.9756280552829E+00,-7.7183416258777E+00
-29.0938E-09,-7.9756280552829E+00,-7.7183416258777E+00
-28.3125E-09,-7.8778592121089E+00,-7.7183416258777E+00
-27.5313E-09,-7.8469848405803E+00,-7.7183416258777E+00
-26.7500E-09,-7.8469848405803E+00,-7.7183416258777E+00
-25.9688E-09,-7.8469848405803E+00,-7.7183416258777E+00
-25.1875E-09,-7.8469848405803E+00,-7.7183416258777E+00
-24.4063E-09,-7.7492159974063E+00,-7.7183416258777E+00
-23.6250E-09,-7.7183416258777E+00,-7.7183416258777E+00
-22.8438E-09,-7.7183416258777E+00,-7.6205727827037E+00
-22.0625E-09,-7.7183416258777E+00,-7.5896984111751E+00
-21.2813E-09,-7.6205727827037E+00,-7.5896984111751E+00
-20.5000E-09,-7.5347034368897E+00,-7.4919295680011E+00
-19.7188E-09,-7.4745627340162E+00,-7.4610551964724E+00
-18.9375E-09,-7.3632863532985E+00,-7.4610551964724E+00
-18.1563E-09,-7.1368742954219E+00,-7.4610551964724E+00
-17.3750E-09,-6.8795878660167E+00,-7.3632863532985E+00
-16.5938E-09,-6.7261808324838E+00,-7.3324119817698E+00
-15.8125E-09,-6.5933567133034E+00,-7.2346431385959E+00
-15.0313E-09,-6.2672461640323E+00,-7.1609948981786E+00
-14.2500E-09,-5.8813165199245E+00,-7.0924923863495E+00
-13.4688E-09,-5.3976180326427E+00,-6.9773567091907E+00
-12.6875E-09,-5.1213567290688E+00,-6.7509446513141E+00
-11.9063E-09,-4.8348039683188E+00,-6.6342009339715E+00
-11.1250E-09,-4.3684723150218E+00,-6.5740602310980E+00
-10.3438E-09,-3.7561306130374E+00,-6.3650150072063E+00
-9.5625E-09,-3.4001105163479E+00,-6.1077285778010E+00
-8.7813E-09,-3.1470049914206E+00,-5.9482109915698E+00
-8.0000E-09,-2.6961105238879E+00,-5.8256783295656E+00
-7.2188E-09,-2.0837688219036E+00,-5.6928542103851E+00
-6.4375E-09,-1.5383215915645E+00,-5.5622813474620E+00
-5.6563E-09,-1.2498391825939E+00,-5.3358692895854E+00
-4.8750E-09,-971.6482307995E-03,-5.2191255722428E+00
-4.0938E-09,-509.1758739436E-03,-5.1589848693693E+00
-3.3125E-09,-92.3718583072E-03,-4.9499396454776E+00
-2.5313E-09,+214.1206007218E-03,-4.7904220592463E+00
-1.7500E-09,+458.8643166935E-03,-4.5640100013698E+00
-968.8E-12,+808.1306446111E-03,-4.4533768367255E+00
-187.5E-12,+1.0962914455449E+00,-4.3890552293742E+00
+593.7E-12,+1.4513467181241E+00,-4.1780803572620E+00
+1.3750E-09,+1.6295175704872E+00,-4.0185627710307E+00
+2.1562E-09,+1.7665225941455E+00,-3.7921507131541E+00
+2.9375E-09,+1.9967939484632E+00,-3.6509647850180E+00
+3.7187E-09,+2.2540803778684E+00,-3.5097788568819E+00
+4.5000E-09,+2.3708240952110E+00,-3.3753466975177E+00
+5.2812E-09,+2.4309647980845E+00,-3.1489346396411E+00
+6.0625E-09,+2.5422411788022E+00,-2.9833065007115E+00
+6.8437E-09,+2.6708843935048E+00,-2.8588441904867E+00
